               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.080993,             0.02142,            0.008306,            0.021917,                 0.8,             0.19868,            0.044046,            0.074254,            0.017956,           0.0058289,             0.00835,             0.00835,             0.00835
                  52,              0.0754,            0.028063,           0.0072016,            0.021917,                 0.8,             0.19868,            0.044046,            0.074254,            0.017956,           0.0058289,            0.008317,            0.008317,            0.008317
                  53,            0.075156,            0.021208,            0.011454,            0.020606,                 0.3,             0.22907,            0.088305,            0.081524,            0.016682,           0.0060135,            0.008284,            0.008284,            0.008284
                  54,            0.076291,            0.029999,           0.0051988,            0.020606,                 0.3,             0.22907,            0.088305,            0.081524,            0.016682,           0.0060135,            0.008251,            0.008251,            0.008251
                  55,            0.077849,            0.022648,            0.005469,            0.012143,                 0.9,             0.14937,            0.050047,            0.070871,             0.01857,           0.0060165,            0.008218,            0.008218,            0.008218
                  56,            0.072987,            0.028627,           0.0076823,            0.012143,                 0.9,             0.14937,            0.050047,            0.070871,             0.01857,           0.0060165,            0.008185,            0.008185,            0.008185
                  57,            0.073241,            0.025978,           0.0064536,             0.55908,                 0.3,             0.22768,              0.1339,            0.067014,            0.018917,           0.0063461,            0.008152,            0.008152,            0.008152
                  58,            0.066445,            0.027332,             0.00643,             0.55908,                 0.3,             0.22768,              0.1339,            0.067014,            0.018917,           0.0063461,            0.008119,            0.008119,            0.008119
                  59,            0.072863,            0.026269,            0.006606,             0.53288,                 0.3,             0.28152,             0.10411,            0.069496,            0.018723,           0.0063293,            0.008086,            0.008086,            0.008086
                  60,            0.068553,            0.025464,           0.0063292,             0.53288,                 0.3,             0.28152,             0.10411,            0.069496,            0.018723,           0.0063293,            0.008053,            0.008053,            0.008053
                  61,            0.071182,            0.028642,           0.0060166,             0.01036,                 0.3,            0.080847,            0.016344,            0.078822,            0.017418,           0.0054169,             0.00802,             0.00802,             0.00802
                  62,            0.071845,            0.028626,           0.0066912,             0.01036,                 0.3,            0.080847,            0.016344,            0.078822,            0.017418,           0.0054169,            0.007987,            0.007987,            0.007987
                  63,            0.065082,            0.041537,           0.0044794,              0.0151,                 0.2,            0.085306,            0.033559,              0.0676,            0.019371,            0.005191,            0.007954,            0.007954,            0.007954
                  64,            0.070061,            0.034659,           0.0047799,              0.0151,                 0.2,            0.085306,            0.033559,              0.0676,            0.019371,            0.005191,            0.007921,            0.007921,            0.007921
                  65,            0.068352,             0.02991,           0.0046975,             0.55106,                 0.2,             0.09282,            0.031353,            0.073384,            0.017929,           0.0048836,            0.007888,            0.007888,            0.007888
                  66,            0.061696,            0.025684,           0.0038659,             0.55106,                 0.2,             0.09282,            0.031353,            0.073384,            0.017929,           0.0048836,            0.007855,            0.007855,            0.007855
                  67,             0.06389,            0.029414,           0.0040344,           0.0064805,                   1,            0.026869,           0.0092509,            0.068635,            0.019035,           0.0046257,            0.007822,            0.007822,            0.007822
                  68,            0.067371,            0.027576,           0.0067256,           0.0064805,                   1,            0.026869,           0.0092509,            0.068635,            0.019035,           0.0046257,            0.007789,            0.007789,            0.007789
